sep=,
Purchasing Document,Item,Doc Date,Vendor,Vendor Name,Material,Short Text,Order Qty,Unit,Net Price,Curr,Net Value,Plant,Pur Group,Release Ind,Released On,Created By,Requisitioner,PR No,GR Done,IR Done,Remarks
4500118201,10,01.04.2025,100234,SUNDARAM BEARINGS,BRG-6205-ZZ,Ball bearing 6205,200,EA,145.00,INR,29000.00,1000,P01,R,01.04.2025,AKULKARNI,MAINT-L1,1000445,X,X,
4500118201,20,01.04.2025,100234,SUNDARAM BEARINGS,BRG-6206-ZZ,Ball bearing 6206,100,EA,178.50,INR,17850.00,1000,P01,R,01.04.2025,AKULKARNI,MAINT-L1,1000445,X,X,
4500118202,10,01.04.2025,100517,Precision Gear Works,,GEARBOX SEW R47 (SEE ATTACH),1,EA,182000,INR,182000.00,1000,P01,R,04.04.2025,AKULKARNI,MAINT-L2,1000446,X,,single quote - emergency - KI-F-33 pending
4500118203,10,2/4/2025,100081,Bharat Steel Traders,RM-SS304-3MM,SS304 sheet 3mm,4.5,TON,198000.00,INR,891000.00,1000,P02,R,09.04.2025,RSHETTY,PROD,1000447,X,X,
4500118204,10,02.04.2025,100081,Bharat Steel Traders,RM-SS304-3MM,SS304 sheet 3mm,4.5,TON,198000.00,INR,891000.00,1000,P02,R,09.04.2025,RSHETTY,PROD,1000447,X,X,DUPLICATE?? same PR - check with Rohit
4500118205,10,03.04.2025,100390,Om Sai Packaging,PKG-CRT-L,Corrugated cartons large,5000,EA,18.2,INR,91000.00,1000,P02,R,03.04.2025,RSHETTY,STORES,1000451,X,X,
4500118206,10,03.04.2025,100612,ACME INDUSTRIAL GASES,,Argon cylinder refill,40,CYL,1250,INR,50000.00,1000,P02,R,03.04.2025,RSHETTY,PROD,,X,X,no PR - rate contract? RC expired 2023
4500118207,10,04.04.2025,100234,SUNDARAM BEARINGS,BRG-6310-2RS,Bearing 6310 2RS,50,EA,410,INR,20500.00,1000,P01,R,04.04.2025,AKULKARNI,MAINT-L1,1000452,X,X,
4500118208,10,07.04.2025,100777,Mahalaxmi Engg Services,,AMC compressor Q1,1,AU,275000,INR,275000.00,1000,P02,,,RSHETTY,UTIL,1000455,,,stuck - Plant Head release since 07.04
4500118209,10,07.04.2025,100081,Bharat Steel Traders,RM-MS-10MM,MS plate 10mm,12,TON,68500,INR,822000.00,1000,P02,R,15.04.2025,RSHETTY,PROD,1000456,X,X,
4500118210,10,08.04.2025,100905,Hitech Hydraulics,,Hydraulic power pack repair,1,AU,96500,INR,96500.00,1000,P01,R,08.04.2025,AKULKARNI,MAINT-L3,1000458,X,,invoice parked - freight 4500 not in PO
4500118211,10,08.04.2025,100234,SUNDARAM BEARINGS,BRG-22212-E,Spherical roller brg,8,EA,3950,INR,31600.00,1000,P01,R,08.04.2025,AKULKARNI,MAINT-L2,1000459,X,X,
4500118212,10,09.04.2025,100118,Kirloskar Distributors Pune,,KBL pump spares kit,2,SET,44800,INR,89600.00,1000,P01,R,09.04.2025,AKULKARNI,MAINT-L1,1000460,X,X,OEM
4500118213,10,10.04.2025,100390,Om Sai Packaging,PKG-STR-TAPE,Strapping tape,300,ROL,95,INR,28500.00,1000,P02,R,10.04.2025,RSHETTY,STORES,1000462,X,X,
4500118214,10,10.04.2025,100821,SAFETY FIRST INDIA,PPE-GLV-NIT,Nitrile gloves,2000,PR,22,INR,44000.00,1000,P02,R,10.04.2025,RSHETTY,EHS,1000463,X,X,
4500118215,10,11.04.2025,100081,Bharat Steel Traders,RM-SS316-5MM,SS316 sheet 5mm,3,TON,245000,INR,735000.00,1000,P02,R,22.04.2025,RSHETTY,PROD,1000464,X,X,CFO release took 11 days
4500118216,10,14.04.2025,100517,Precision Gear Works,,Gear set spur 1:4,3,SET,38000,INR,114000.00,1000,P01,R,14.04.2025,AKULKARNI,MAINT-L2,1000466,X,X,vendor name changed to Precision Gears Pune - same GST?
4500118217,10,14.04.2025,,,,"MISC - see email",1,AU,12500,INR,12500.00,1000,P02,R,14.04.2025,RSHETTY,ADMIN,,X,X,vendor blank - paid via petty cash?
4500118218,10,15.04.2025,100234,SUNDARAM BEARINGS,BRG-6205-ZZ,Ball bearing 6205,200,EA,152.00,INR,30400.00,1000,P01,R,15.04.2025,AKULKARNI,MAINT-L1,1000468,X,X,price up 5% vs 118201 - no CS
4500118219,10,16.04.2025,100440,Coimbatore Castings,,CI casting valve body DN80,120,EA,1850,INR,222000.00,2000,P05,R,16.04.2025,MURUGAN,PROD-CBE,,X,,Coimbatore - typed from paper - approx date
4500118220,10,17.04.2025,100612,ACME INDUSTRIAL GASES,,Oxygen refill,60,CYL,620,INR,37200.00,1000,P02,R,17.04.2025,RSHETTY,PROD,,X,X,
4500118221,10,21.04.2025,100999,ONE TIME VENDOR,,Consultant travel reimb,1,AU,18400,INR,18400.00,1000,P02,R,21.04.2025,RSHETTY,ADMIN,,,X,not procurement really
4500118222,10,22.04.2025,100905,Hitech Hydraulics,,Cylinder seal kit,6,SET,7200,INR,43200.00,1000,P01,R,22.04.2025,AKULKARNI,MAINT-L3,1000475,X,X,
4500118223,10,23.04.2025,100081,Bharat Steel Traders,RM-MS-10MM,MS plate 10mm,12,TON,69800,INR,837600.00,1000,P02,R,05.05.2025,RSHETTY,PROD,1000478,X,X,
4500118224,10,24.04.2025,100777,Mahalaxmi Engg Services,,Cooling tower cleaning,1,AU,48000,INR,48000.00,1000,P02,R,24.04.2025,RSHETTY,UTIL,1000480,,X,GRN not done - AP paid anyway??
4500118225,10,28.04.2025,100234,SUNDARAM BEARINGS,BRG-6206-ZZ,Ball bearing 6206,150,EA,178.50,INR,26775.00,1000,P01,R,28.04.2025,AKULKARNI,MAINT-L1,1000482,X,X,
4500118226,10,29.04.2025,101002,TechServe IT Solutions,,SAP AMC Apr-Jun,1,AU,540000,INR,540000.00,1000,P02,R,12.05.2025,RSHETTY,IT,1000483,,X,capex? opex? CFO asked
4500118227,10,30.04.2025,100118,Kirloskar Distributors Pune,,Impeller 6x4 KBL,1,EA,61000,INR,61000.00,1000,P01,R,30.04.2025,AKULKARNI,MAINT-L1,1000485,X,X,
4500118228,10,02.05.2025,100081,Bharat Steel Traders,RM-SS304-3MM,SS304 sheet 3mm,6,TON,201000,INR,1206000.00,1000,P02,R,19.05.2025,RSHETTY,PROD,1000488,X,X,
4500118229,10,05.05.2025,100821,SAFETY FIRST INDIA,PPE-HLM,Safety helmet,150,EA,310,INR,46500.00,1000,P02,R,05.05.2025,RSHETTY,EHS,1000490,X,X,
4500118230,10,05.05.2025,100390,Om Sai Packaging,PKG-CRT-L,Corrugated cartons large,5000,EA,18.9,INR,94500.00,1000,P02,R,05.05.2025,RSHETTY,STORES,1000491,X,X,
4500118231,10,06.05.2025,100517,Precision Gears Pune,,Gearbox R57 spare,1,EA,64000,INR,64000.00,1000,P01,R,06.05.2025,AKULKARNI,MAINT-L2,1000493,X,X,NEW vendor code 101044 created 04.05 but PO on old code
4500118232,10,08.05.2025,100234,SUNDARAM BEARINGS,BRG-6310-2RS,Bearing 6310 2RS,50,EA,410,INR,20500.00,1000,P01,R,08.05.2025,AKULKARNI,MAINT-L1,1000495,X,X,
4500118233,10,12.05.2025,100440,Coimbatore Castings,,CI casting DN100,80,EA,2400,INR,192000.00,2000,P05,,,MURUGAN,PROD-CBE,,X,,Coimbatore
4500118234,10,12.05.2025,101010,Global Valve Components LLC,VLV-SEAT-PTFE,PTFE seat ring,500,EA,4.2,USD,2100.00,1000,P02,R,26.05.2025,RSHETTY,PROD,1000499,,,import - CHA/forwarder not on PO
4500118235,10,13.05.2025,100905,Hitech Hydraulics,,Hydraulic hose assy,20,EA,1850,INR,37000.00,1000,P01,R,13.05.2025,AKULKARNI,MAINT-L3,1000500,X,X,
4500118236,10,14.05.2025,100777,Mahalaxmi Engg Services,,AMC compressor Q1,1,AU,275000,INR,275000.00,1000,P02,R,14.05.2025,RSHETTY,UTIL,1000455,X,X,re-raised 118208 because it was stuck - now there are two POs
4500118237,10,15.05.2025,100081,Bharat Steel Traders,RM-SS316-5MM,SS316 sheet 5mm,3,TON,249000,INR,747000.00,1000,P02,R,29.05.2025,RSHETTY,PROD,1000503,X,X,
4500118238,10,19.05.2025,100234,SUNDARAM BEARINGS,BRG-6205-ZZ,Ball bearing 6205,200,EA,152,INR,30400.00,1000,P01,R,19.05.2025,AKULKARNI,MAINT-L1,1000506,X,X,
4500118239,10,20.05.2025,100612,ACME INDUSTRIAL GASES,,Argon cylinder refill,40,CYL,1250,INR,50000.00,1000,P02,R,20.05.2025,RSHETTY,PROD,,X,X,
4500118240,10,22.05.2025,100118,Kirloskar Distributors Pune,,Mech seal KBL 50mm,4,EA,9800,INR,39200.00,1000,P01,R,22.05.2025,AKULKARNI,MAINT-L1,1000510,X,X,
4500118241,10,26.05.2025,101044,Precision Gears Pune,,Gear set helical,2,SET,52000,INR,104000.00,1000,P01,R,26.05.2025,AKULKARNI,MAINT-L2,1000513,X,,first PO on new code
4500118242,10,27.05.2025,100081,Bharat Steel Traders,RM-MS-10MM,MS plate 10mm,10,TON,70500,INR,705000.00,1000,P02,R,10.06.2025,RSHETTY,PROD,1000515,X,X,
4500118243,10,02.06.2025,100390,Om Sai Packaging,PKG-CRT-S,Corrugated cartons small,8000,EA,9.8,INR,78400.00,1000,P02,R,02.06.2025,RSHETTY,STORES,1000520,X,X,
4500118244,10,03.06.2025,100821,SAFETY FIRST INDIA,PPE-GLV-NIT,Nitrile gloves,2000,PR,22,INR,44000.00,1000,P02,R,03.06.2025,RSHETTY,EHS,1000521,X,X,
4500118245,10,04.06.2025,100234,SUNDARAM BEARINGS,BRG-22212-E,Spherical roller brg,8,EA,3950,INR,31600.00,1000,P01,R,04.06.2025,AKULKARNI,MAINT-L2,1000523,X,X,
4500118246,10,05.06.2025,100905,Hitech Hydraulics,,Power pack overhaul,1,AU,310000,INR,310000.00,1000,P01,,,AKULKARNI,MAINT-L3,1000525,,,STUCK - CFO release - 3 wks as of 26 Jun
4500118247,10,09.06.2025,100081,Bharat Steel Traders,RM-SS304-3MM,SS304 sheet 3mm,4.5,TON,204000,INR,918000.00,1000,P02,R,23.06.2025,RSHETTY,PROD,1000528,X,,
4500118248,10,10.06.2025,100440,Coimbatore Castings,,CI casting DN80,120,EA,1850,INR,222000.00,2000,P05,R,,MURUGAN,PROD-CBE,,X,X,
4500118249,10,11.06.2025,101002,TechServe IT Solutions,,Laptops x6,6,EA,68000,INR,408000.00,1000,P02,R,20.06.2025,RSHETTY,IT,1000530,X,X,capex - no capex committee approval attached
4500118250,10,12.06.2025,100777,Mahalaxmi Engg Services,,Chiller repair,1,AU,58000,INR,58000.00,1000,P02,R,12.06.2025,RSHETTY,UTIL,1000532,X,X,
4500118251,10,16.06.2025,100234,SUNDARAM BEARINGS,BRG-6206-ZZ,Ball bearing 6206,150,EA,185.00,INR,27750.00,1000,P01,R,16.06.2025,AKULKARNI,MAINT-L1,1000535,X,X,
4500118252,10,17.06.2025,100612,ACME INDUSTRIAL GASES,,Oxygen refill,60,CYL,620,INR,37200.00,1000,P02,R,17.06.2025,RSHETTY,PROD,,X,X,
4500118253,10,18.06.2025,100118,Kirloskar Distributors Pune,,KBL pump spares kit,2,SET,46000,INR,92000.00,1000,P01,R,18.06.2025,AKULKARNI,MAINT-L1,1000538,X,X,
4500118254,10,23.06.2025,101010,Global Valve Components LLC,VLV-SEAT-PTFE,PTFE seat ring,500,EA,4.2,USD,2100.00,1000,P02,,,RSHETTY,PROD,1000541,,,
4500118255,10,24.06.2025,100081,Bharat Steel Traders,RM-MS-10MM,MS plate 10mm,12,TON,70500,INR,846000.00,1000,P02,R,,RSHETTY,PROD,1000543,,,released on date blank - SAP export issue?
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,TOTAL,,15837075.00,,,,,,,,,,(sum formula pasted as value - may not match)
,,,,,,,,,,,,,,,,,,,,,
NOTE from Anjali: this is only Pune (plant 1000) + the Coimbatore ones I could find. Coimbatore Tally data is separate - ask Murugan. Also excluded 'ZDEL' deleted POs and anything under 10k because the list was too long.
